,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
513,0.5,1.0,0.0,118.28205059063008,12.0,54.0,0.1
514,0.5,1.0,0.0,399.0424047881368,24.0,208.0,0.1
515,0.5,1.0,0.0,152.98813469116797,10.0,62.0,0.1
516,0.5,1.0,0.0,80.19429867775325,8.0,43.0,0.1
517,0.5,1.0,0.0,45.28579713548119,3.0,23.0,0.1
518,0.5,1.0,0.0,832.666733215393,65.0,356.0,0.1
519,0.5,1.0,0.0,523.1479424218061,33.0,272.0,0.1
520,0.5,1.0,0.0,60.37768037000169,5.0,30.0,0.1
521,0.5,1.0,0.0,95.17395505790608,8.0,49.0,0.1
522,0.5,1.0,0.0,106.19122970948072,10.0,51.0,0.1
523,0.5,1.0,0.0,171.32593666024616,11.0,87.0,0.1
524,0.5,1.0,0.0,166.277980292603,12.0,76.0,0.1
525,0.5,1.0,0.0,166.51224489889353,8.0,97.0,0.1
526,0.5,1.0,0.0,206.70802043193848,15.0,117.0,0.1
527,0.5,1.0,0.0,162.3266690926326,12.0,83.0,0.1
528,0.5,1.0,0.0,187.20130303176396,16.0,91.0,0.1
529,0.5,1.0,0.0,156.90114703587903,15.0,76.0,0.1
530,0.5,1.0,0.0,247.0298219748124,17.0,120.0,0.1
531,0.5,1.0,0.0,160.38542494599562,14.0,94.0,0.1
532,0.5,1.0,0.0,69.52311359754748,4.0,36.0,0.1
